CustomerID,Year,Quarter,QuarterAmount,QuarterFrequency,QuarterAvgValue,PurchaseTrend3Q,Recency,Frequency,Monetary,CustomerLifeSpan,TotalQuarters,AvgOrderValue,MonetaryPerQuarter,label
12346,2009,4,113.5,5,22.7,0.0,320,12,77556.46,400,4,6463.038333333334,19389.115,1
12346,2010,1,117.05,5,23.41,1.0,320,12,77556.46,400,4,6463.038333333334,19389.115,1
12346,2010,2,142.30999999999997,1,142.30999999999997,1.0,320,12,77556.46,400,4,6463.038333333334,19389.115,0
12346,2011,1,77183.6,1,77183.6,1.0,320,12,77556.46,400,4,6463.038333333334,19389.115,0
12347,2010,4,2035.1099999999997,2,1017.5549999999998,0.0,34,7,5408.5,365,5,772.6428571428571,1081.7,1
12347,2011,1,475.39,1,475.39,-1.0,34,7,5408.5,365,5,772.6428571428571,1081.7,1
12347,2011,2,1018.77,2,509.385,1.0,34,7,5408.5,365,5,772.6428571428571,1081.7,1
12347,2011,3,584.91,1,584.91,-1.0,34,7,5408.5,365,5,772.6428571428571,1081.7,1
12347,2011,4,1294.3200000000002,1,1294.3200000000002,1.0,34,7,5408.5,365,5,772.6428571428571,1081.7,0
12348,2010,3,222.16000000000003,1,222.16000000000003,0.0,70,5,2019.4,363,5,403.88,403.88,1
12348,2010,4,892.8000000000001,1,892.8000000000001,1.0,70,5,2019.4,363,5,403.88,403.88,1
12348,2011,1,227.43999999999997,1,227.43999999999997,-1.0,70,5,2019.4,363,5,403.88,403.88,1
12348,2011,2,367.0,1,367.0,1.0,70,5,2019.4,363,5,403.88,403.88,1
12348,2011,3,310.0,1,310.0,-1.0,70,5,2019.4,363,5,403.88,403.88,0
12349,2010,2,1268.52,2,634.26,0.0,13,4,4428.69,571,3,1107.1725,1476.2299999999998,0
12349,2010,4,1402.6199999999997,1,1402.6199999999997,1.0,13,4,4428.69,571,3,1107.1725,1476.2299999999998,0
12349,2011,4,1757.55,1,1757.55,1.0,13,4,4428.69,571,3,1107.1725,1476.2299999999998,0
12350,2011,1,334.40000000000003,1,334.40000000000003,0.0,305,1,334.40000000000003,0,1,334.40000000000003,334.40000000000003,0
12351,2010,4,300.93,1,300.93,0.0,370,1,300.93,0,1,300.93,300.93,0
12352,2010,4,343.79999999999995,2,171.89999999999998,0.0,31,10,2849.84,356,4,284.98400000000004,712.46,1
12352,2011,1,1561.81,5,312.36199999999997,1.0,31,10,2849.84,356,4,284.98400000000004,712.46,0
12352,2011,3,632.5,2,316.25,-1.0,31,10,2849.84,356,4,284.98400000000004,712.46,1
12352,2011,4,311.73,1,311.73,-1.0,31,10,2849.84,356,4,284.98400000000004,712.46,0
12353,2010,4,317.75999999999993,1,317.75999999999993,0.0,199,2,406.75999999999993,204,2,203.37999999999997,203.37999999999997,0
12353,2011,2,89.0,1,89.0,-1.0,199,2,406.75999999999993,204,2,203.37999999999997,203.37999999999997,0
12354,2011,2,1079.4,1,1079.4,0.0,227,1,1079.4,0,1,1079.4,1079.4,0
12355,2010,2,488.2099999999999,1,488.2099999999999,0.0,209,2,947.6099999999999,353,2,473.80499999999995,473.80499999999995,0
12355,2011,2,459.4,1,459.4,-1.0,209,2,947.6099999999999,353,2,473.80499999999995,473.80499999999995,0
12356,2010,4,3562.25,3,1187.4166666666667,0.0,17,6,6373.680000000001,402,4,1062.2800000000002,1593.4200000000003,1
12356,2011,1,2271.6200000000003,1,2271.6200000000003,-1.0,17,6,6373.680000000001,402,4,1062.2800000000002,1593.4200000000003,1
12356,2011,2,481.46,1,481.46,-1.0,17,6,6373.680000000001,402,4,1062.2800000000002,1593.4200000000003,0
12356,2011,4,58.349999999999994,1,58.349999999999994,-1.0,17,6,6373.680000000001,402,4,1062.2800000000002,1593.4200000000003,0
12357,2010,4,12079.98999999999,2,6039.994999999995,0.0,28,3,18287.65999999999,355,2,6095.886666666663,9143.829999999994,0
12357,2011,4,6207.669999999996,1,6207.669999999996,-1.0,28,3,18287.65999999999,355,2,6095.886666666663,9143.829999999994,0
12358,2009,4,1429.8300000000004,1,1429.8300000000004,0.0,145,4,3203.8700000000003,581,4,800.9675000000001,800.9675000000001,0
12358,2010,2,268.1,1,268.1,-1.0,145,4,3203.8700000000003,581,4,800.9675000000001,800.9675000000001,0
12358,2010,4,1021.0799999999999,1,1021.0799999999999,1.0,145,4,3203.8700000000003,581,4,800.9675000000001,800.9675000000001,0
12358,2011,3,484.85999999999996,1,484.85999999999996,-1.0,145,4,3203.8700000000003,581,4,800.9675000000001,800.9675000000001,0
12359,2009,4,838.8900000000002,2,419.4450000000001,0.0,52,10,8935.94,677,7,893.594,1276.5628571428572,1
12359,2010,1,683.34,2,341.67,-1.0,52,10,8935.94,677,7,893.594,1276.5628571428572,1
12359,2010,2,489.8,1,489.8,-1.0,52,10,8935.94,677,7,893.594,1276.5628571428572,0
12359,2010,4,551.33,1,551.33,1.0,52,10,8935.94,677,7,893.594,1276.5628571428572,1
12359,2011,1,2386.4100000000008,2,1193.2050000000004,1.0,52,10,8935.94,677,7,893.594,1276.5628571428572,1
12359,2011,2,1109.3199999999997,1,1109.3199999999997,-1.0,52,10,8935.94,677,7,893.594,1276.5628571428572,0
12359,2011,4,2876.85,1,2876.85,1.0,52,10,8935.94,677,7,893.594,1276.5628571428572,0
12360,2010,1,158.0,2,79.0,0.0,47,8,4252.889999999999,603,6,531.6112499999999,708.8149999999999,1
12360,2010,2,622.04,1,622.04,1.0,47,8,4252.889999999999,603,6,531.6112499999999,708.8149999999999,0
12360,2010,4,810.79,2,405.395,1.0,47,8,4252.889999999999,603,6,531.6112499999999,708.8149999999999,0
12360,2011,2,1083.58,1,1083.58,1.0,47,8,4252.889999999999,603,6,531.6112499999999,708.8149999999999,1
12360,2011,3,534.7000000000002,1,534.7000000000002,-1.0,47,8,4252.889999999999,603,6,531.6112499999999,708.8149999999999,1
12360,2011,4,1043.7799999999997,1,1043.7799999999997,1.0,47,8,4252.889999999999,603,6,531.6112499999999,708.8149999999999,0
12361,2010,1,109.19999999999999,1,109.19999999999999,0.0,282,4,511.25,395,4,127.8125,127.8125,1
12361,2010,2,98.15,1,98.15,-1.0,282,4,511.25,395,4,127.8125,127.8125,1
12361,2010,3,114.0,1,114.0,1.0,282,4,511.25,395,4,127.8125,127.8125,0
12361,2011,1,189.89999999999998,1,189.89999999999998,1.0,282,4,511.25,395,4,127.8125,127.8125,0
12362,2009,4,130.0,1,130.0,0.0,30,10,4827.1900000000005,703,5,482.71900000000005,965.4380000000001,0
12362,2011,1,479.1,1,479.1,1.0,30,10,4827.1900000000005,703,5,482.71900000000005,965.4380000000001,1
12362,2011,2,495.2400000000001,1,495.2400000000001,1.0,30,10,4827.1900000000005,703,5,482.71900000000005,965.4380000000001,1
12362,2011,3,1603.0,3,534.3333333333334,1.0,30,10,4827.1900000000005,703,5,482.71900000000005,965.4380000000001,1
12362,2011,4,2119.8500000000004,4,529.9625000000001,1.0,30,10,4827.1900000000005,703,5,482.71900000000005,965.4380000000001,0
12363,2011,2,299.1,1,299.1,0.0,104,2,552.0,133,2,276.0,276.0,1
12363,2011,3,252.90000000000003,1,252.90000000000003,-1.0,104,2,552.0,133,2,276.0,276.0,0
12364,2011,3,703.7199999999999,2,351.85999999999996,0.0,2,4,1313.1,105,2,328.275,656.55,1
12364,2011,4,609.3799999999999,2,304.68999999999994,-1.0,2,4,1313.1,105,2,328.275,656.55,0
12365,2011,1,641.38,2,320.69,0.0,286,2,641.38,0,1,320.69,641.38,0
12366,2010,1,500.24,1,500.24,0.0,628,1,500.24,0,1,500.24,500.24,0
12368,2010,1,917.6999999999999,1,917.6999999999999,0.0,623,1,917.6999999999999,0,1,917.6999999999999,917.6999999999999,0
12369,2010,1,348.31999999999994,1,348.31999999999994,0.0,408,3,1791.1499999999999,228,3,597.05,597.05,0
12369,2010,3,1259.48,1,1259.48,1.0,408,3,1791.1499999999999,228,3,597.05,597.05,1
12369,2010,4,183.34999999999997,1,183.34999999999997,-1.0,408,3,1791.1499999999999,228,3,597.05,597.05,0
12370,2010,1,774.6200000000001,3,258.2066666666667,0.0,46,7,4320.31,617,4,617.1871428571429,1080.0775,0
12370,2010,4,1868.02,2,934.01,1.0,46,7,4320.31,617,4,617.1871428571429,1080.0775,1
12370,2011,1,938.3900000000002,1,938.3900000000002,-1.0,46,7,4320.31,617,4,617.1871428571429,1080.0775,0
12370,2011,4,739.28,1,739.28,-1.0,46,7,4320.31,617,4,617.1871428571429,1080.0775,0
12371,2010,1,607.6800000000001,2,303.84000000000003,0.0,39,5,4067.38,601,3,813.476,1355.7933333333333,0
12371,2010,4,1571.74,1,1571.74,1.0,39,5,4067.38,601,3,813.476,1355.7933333333333,0
12371,2011,4,1887.9600000000003,2,943.9800000000001,1.0,39,5,4067.38,601,3,813.476,1355.7933333333333,0
12372,2011,1,399.22,1,399.22,0.0,66,3,1298.04,225,3,432.68,432.68,1
12372,2011,2,515.7,1,515.7,1.0,66,3,1298.04,225,3,432.68,432.68,1
12372,2011,3,383.12,1,383.12,-1.0,66,3,1298.04,225,3,432.68,432.68,0
12373,2010,1,763.05,2,381.525,0.0,306,3,1127.65,362,2,375.8833333333334,563.825,0
12373,2011,1,364.6,1,364.6,-1.0,306,3,1127.65,362,2,375.8833333333334,563.825,0
12374,2010,2,1388.5400000000004,1,1388.5400000000004,0.0,20,4,2989.2200000000003,563,3,747.3050000000001,996.4066666666668,0
12374,2010,4,857.75,2,428.875,-1.0,20,4,2989.2200000000003,563,3,747.3050000000001,996.4066666666668,0
12374,2011,4,742.93,1,742.93,-1.0,20,4,2989.2200000000003,563,3,747.3050000000001,996.4066666666668,0
12375,2011,3,230.30000000000004,1,230.30000000000004,0.0,5,2,457.50000000000006,88,2,228.75000000000003,228.75000000000003,1
12375,2011,4,227.20000000000002,1,227.20000000000002,-1.0,5,2,457.50000000000006,88,2,228.75000000000003,228.75000000000003,0
12376,2010,4,503.15,2,251.575,0.0,384,2,503.15,28,1,251.575,503.15,0
12377,2010,2,1210.96,1,1210.96,0.0,310,4,3426.3199999999997,274,3,856.5799999999999,1142.1066666666666,0
12377,2010,4,1588.7599999999998,2,794.3799999999999,1.0,310,4,3426.3199999999997,274,3,856.5799999999999,1142.1066666666666,1
12377,2011,1,626.6,1,626.6,-1.0,310,4,3426.3199999999997,274,3,856.5799999999999,1142.1066666666666,0
12378,2010,2,1407.7000000000003,1,1407.7000000000003,0.0,124,2,5416.3200000000015,433,2,2708.1600000000008,2708.1600000000008,0
12378,2011,3,4008.6200000000013,1,4008.6200000000013,1.0,124,2,5416.3200000000015,433,2,2708.1600000000008,2708.1600000000008,0
12379,2010,2,367.48,1,367.48,0.0,76,4,1620.22,453,4,405.055,405.055,0
12379,2010,4,400.50000000000006,1,400.50000000000006,1.0,76,4,1620.22,453,4,405.055,405.055,0
12379,2011,2,459.8399999999999,1,459.8399999999999,1.0,76,4,1620.22,453,4,405.055,405.055,1
12379,2011,3,392.40000000000003,1,392.40000000000003,-1.0,76,4,1620.22,453,4,405.055,405.055,0
12380,2010,1,3217.3,3,1072.4333333333334,0.0,16,11,9676.300000000001,641,6,879.6636363636364,1612.716666666667,1
12380,2010,2,2597.35,3,865.7833333333333,-1.0,16,11,9676.300000000001,641,6,879.6636363636364,1612.716666666667,1
12380,2010,3,1136.8400000000001,1,1136.8400000000001,-1.0,16,11,9676.300000000001,641,6,879.6636363636364,1612.716666666667,0
12380,2011,2,607.5500000000001,1,607.5500000000001,-1.0,16,11,9676.300000000001,641,6,879.6636363636364,1612.716666666667,1
12380,2011,3,626.0100000000001,1,626.0100000000001,1.0,16,11,9676.300000000001,641,6,879.6636363636364,1612.716666666667,1
12380,2011,4,1491.25,2,745.625,1.0,16,11,9676.300000000001,641,6,879.6636363636364,1612.716666666667,0
12381,2011,3,1268.74,1,1268.74,0.0,28,4,1698.3,86,2,424.575,849.15,1
12381,2011,4,429.55999999999995,3,143.18666666666664,-1.0,28,4,1698.3,86,2,424.575,849.15,0
12383,2010,4,600.72,1,600.72,0.0,179,5,1850.56,168,3,370.11199999999997,616.8533333333334,1
12383,2011,1,1008.2299999999998,2,504.1149999999999,1.0,179,5,1850.56,168,3,370.11199999999997,616.8533333333334,1
12383,2011,2,241.61,2,120.805,-1.0,179,5,1850.56,168,3,370.11199999999997,616.8533333333334,0
12384,2011,3,292.69,1,292.69,0.0,23,2,585.27,93,2,292.635,292.635,1
12384,2011,4,292.58,1,292.58,-1.0,23,2,585.27,93,2,292.635,292.635,0
12385,2010,4,1938.3999999999999,1,1938.3999999999999,0.0,374,1,1938.3999999999999,0,1,1938.3999999999999,1938.3999999999999,0
12386,2010,4,517.8,1,517.8,0.0,332,2,660.8,29,2,330.4,330.4,1
12386,2011,1,143.0,1,143.0,-1.0,332,2,660.8,29,2,330.4,330.4,0
12387,2010,4,143.94,1,143.94,0.0,410,1,143.94,0,1,143.94,143.94,0
12388,2010,2,461.62000000000006,1,461.62000000000006,0.0,10,8,3901.1100000000006,567,5,487.6387500000001,780.2220000000001,1
12388,2010,3,658.8300000000002,1,658.8300000000002,1.0,10,8,3901.1100000000006,567,5,487.6387500000001,780.2220000000001,0
12388,2011,1,766.2500000000001,3,255.4166666666667,1.0,10,8,3901.1100000000006,567,5,487.6387500000001,780.2220000000001,0
12388,2011,3,1728.0100000000002,2,864.0050000000001,1.0,10,8,3901.1100000000006,567,5,487.6387500000001,780.2220000000001,1
12388,2011,4,286.40000000000003,1,286.40000000000003,-1.0,10,8,3901.1100000000006,567,5,487.6387500000001,780.2220000000001,0
12389,2010,1,164.85,1,164.85,0.0,397,3,1433.3299999999997,253,3,477.7766666666666,477.7766666666666,1
12389,2010,2,398.1799999999999,1,398.1799999999999,1.0,397,3,1433.3299999999997,253,3,477.7766666666666,477.7766666666666,0
12389,2010,4,870.2999999999998,1,870.2999999999998,1.0,397,3,1433.3299999999997,253,3,477.7766666666666,477.7766666666666,0
12390,2011,3,549.8399999999999,1,549.8399999999999,0.0,74,1,549.8399999999999,0,1,549.8399999999999,549.8399999999999,0
12391,2010,1,750.4900000000001,2,375.24500000000006,0.0,16,6,2773.42,641,4,462.2366666666667,693.355,1
12391,2010,2,1151.7000000000003,2,575.8500000000001,1.0,16,6,2773.42,641,4,462.2366666666667,693.355,1
12391,2010,3,410.33999999999986,1,410.33999999999986,-1.0,16,6,2773.42,641,4,462.2366666666667,693.355,0
12391,2011,4,460.88999999999993,1,460.88999999999993,1.0,16,6,2773.42,641,4,462.2366666666667,693.355,0
12392,2010,2,234.75000000000003,1,234.75000000000003,0.0,586,1,234.75000000000003,0,1,234.75000000000003,234.75000000000003,0
12393,2010,4,816.8499999999999,2,408.42499999999995,0.0,67,6,2399.45,356,4,399.9083333333333,599.8625,1
12393,2011,1,639.5,2,319.75,-1.0,67,6,2399.45,356,4,399.9083333333333,599.8625,1
12393,2011,2,421.6000000000001,1,421.6000000000001,-1.0,67,6,2399.45,356,4,399.9083333333333,599.8625,1
12393,2011,3,521.5,1,521.5,1.0,67,6,2399.45,356,4,399.9083333333333,599.8625,0
12394,2011,2,381.08,1,381.08,0.0,58,2,1272.48,154,2,636.24,636.24,0
12394,2011,4,891.4000000000001,1,891.4000000000001,1.0,58,2,1272.48,154,2,636.24,636.24,0
