Metric,Value
Accuracy,0.7848244620611552
AUC-ROC,0.8806693327517954
AUC-PR,0.8733291155262948
Precision,0.8012269938645391
Recall,0.7497129735931403
Specificity,0.8189944134073637
F1-Score,0.7746144716234611
Weighted-Precision,0.785790331441825
Weighted-Recall,0.7848244620611551
Weighted-F1,0.7845147332223057
TPR (Sensitivity),0.7497129735931403
TNR (Specificity),0.8189944134073637
FPR,0.18100558659207766
FNR,0.2502870264062857
Matthews Correlation Coeff (MCC),0.5703486287098676
Youdens J Statistic,0.5687073870010626
Brier Score,0.1431970469580737
Log Loss,0.4424619752225922
TP,1306.0
TN,1466.0
FP,324.0
FN,436.0
